venue,n_trades,total_volume,kyle_lambda,round_trip_rate,top10_size_share,buy_sell_ratio
challenge,845,168298.76277246999,-1.8883070129510105e-09,2.4044769749560826e-07,0.0662600592897762,0.9999942937385031
kraken,11955,14266.26584048,6.34517010275195e-08,0.04220993404744656,0.08480772099159044,0.46674441415119194
binance,171953,84222.39529999999,6.448255443810498e-08,0.041398193290282714,0.10272328125058681,0.48824755403269815
