qty,n_trades,total_qty,vol_share
399.33,5,1996.6499999999999,0.011863791275425778
671.814,2,1343.628,0.007983633658286523
422.82,3,1268.46,0.007536996810270495
610.74,2,1221.48,0.007257848780260477
508.95,2,1017.9,0.00604820731688373
328.86,3,986.58,0.005862108630210385
446.31,2,892.62,0.005303812570190348
281.88,3,845.64,0.00502466454018033
275.616,3,826.848,0.004913005328176322
250.56,3,751.6800000000001,0.0044663684801602935
187.92,4,751.68,0.004466368480160293
137.808,5,689.04,0.004094171106813602
687.32918,1,687.32918,0.004084005674018758
685.908,1,685.908,0.004075561238146268
685.52895,1,685.52895,0.004073308980573358
684.21672,1,684.21672,0.004065511909065907
681.993,1,681.993,0.004052298902312099
681.9147,1,681.9147,0.004051833655595416
678.67879,1,678.67879,0.004032606369478138
676.512,1,676.512,0.0040197316321442635
675.2592,1,675.2592,0.004012287684677329
674.70365,1,674.70365,0.004008986690891207
673.83743,1,673.83743,0.004003839743114381
667.2824,1,667.2824,0.003964890749688315
664.48512,1,664.48512,0.0039482697364617
219.24,3,657.72,0.003908072420140257
656.08868,1,656.08868,0.0038983793642799764
652.46957,1,652.46957,0.0038768751619196198
646.99595,1,646.99595,0.003844351742591748
645.89455,1,645.89455,0.0038378073909473664
320.7168,2,641.4336,0.0038113011030701167
637.0125,1,637.0125,0.0037850315978449726
636.4475,1,636.4475,0.0037816744535930425
628.40153,1,628.40153,0.0037338665209617162
313.2,2,626.4,0.003721973733466911
624.834,1,624.834,0.0037126687991332432
622.37038,1,622.37038,0.0036980303429882183
621.46834,1,621.46834,0.003692670558207669
607.4514,1,607.4514,0.0036093840280295372
604.476,1,604.476,0.003591704652795569
601.1874,1,601.1874,0.003572164290694868
599.74668,1,599.74668,0.0035636037511078936
598.11673,1,598.11673,0.0035539188355796936
597.07479,1,597.07479,0.003547727786231277
297.54,2,595.08,0.0035358750467935655
594.11153,1,594.11153,0.003530120545034864
590.382,1,590.382,0.0035079602437925635
589.1292,1,589.1292,0.00350051629632563
587.25,1,587.25,0.003489350375125229
584.65076,1,584.65076,0.003473906085522776
582.70687,1,582.70687,0.00346235578616015
581.25042,1,581.25042,0.0034537017813004627
578.1672,1,578.1672,0.0034353817559899585
576.33498,1,576.33498,0.003424494982819568
575.59138,1,575.59138,0.0034200766244731344
572.24683,1,572.24683,0.003400203815963769
569.07263,1,569.07263,0.0033813432013009804
561.81568,1,561.81568,0.0033382235057628534
554.20311,1,554.20311,0.003292990770155928
553.3518,1,553.3518,0.0032879324153362636
552.8999,1,552.8999,0.003285247294119543
552.8699,1,552.8699,0.003285069038672538
551.232,1,551.232,0.0032753368854508817
183.222,3,549.666,0.003266031951117215
549.06332,1,549.06332,0.003262450918023846
548.8954,1,548.8954,0.003261453162868476
542.05734,1,542.05734,0.0032208224481368817
537.34314,1,537.34314,0.0031928113871944968
534.64957,1,534.64957,0.003176806603048178
534.30726,1,534.30726,0.0031747726489793674
534.06319,1,534.06319,0.0031733224220810157
532.44,1,532.44,0.003163677673446875
263.088,2,526.176,0.0031264579361122056
525.2364,1,525.2364,0.003120874975512005
521.74225,1,521.74225,0.003100113266506907
517.47039,1,517.47039,0.00307473052271213
258.39,2,516.78,0.0030706283301102015
515.87172,1,515.87172,0.0030652314681966744
515.6055,1,515.6055,0.003063649629359951
515.3706,1,515.3706,0.0030622538892099006
514.24308,1,514.24308,0.00305555433648966
514.19856,1,514.19856,0.003055289805406305
513.648,1,513.648,0.003052018461442867
510.516,1,510.516,0.0030334085927755327
506.4444,1,506.4444,0.0030092157635079973
505.7397,1,505.7397,0.0030050285430578473
503.28304,1,503.28304,0.0029904314421765276
501.35001,1,501.35001,0.002978945671285717
501.12,1,501.12,0.0029775789867735286
496.71625,1,496.71625,0.0029514125726152357
494.3862,1,494.3862,0.0029375677691387595
493.29,1,493.29,0.0029310543151051926
491.14779,1,491.14779,0.0029183256284008975
491.06908,1,491.06908,0.0029178579455264387
489.66353,1,489.66353,0.002909506380741837
488.3571,1,488.3571,0.0029017437719541404
488.05135,1,488.05135,0.002899927051856747
485.69869,1,485.69869,0.002885947903191711
485.18699,1,485.18699,0.002882907459450627
483.20117,1,483.20117,0.00287110801839157
481.0752,1,481.0752,0.0028584758273025876
479.64489,1,479.64489,0.0028499771423557245
478.06848,1,478.06848,0.0028406103533819465
477.13663,1,477.13663,0.0028350734421055557
476.59078,1,476.59078,0.0028318300842472975
476.064,1,476.064,0.0028287000374348525
474.498,1,474.498,0.002819395103101185
474.41251,1,474.41251,0.0028188871344957027
